country	GDP_M_USD	population
United States	22675271.0	332474873.0
China	16642318.0	1411778724.0
Japan	5378136.0	125210000.0
Germany	4319286.0	83129285.0
United Kingdom	3124650.0	67081234.0
India	3049704.0	1382679458.0
France	2938271.0	67486000.0
Italy	2106287.0	59108671.0
Canada	1883487.0	38427521.0
South Korea	1806707.0	51671569.0
Russia	1710734.0	146171015.0
Australia	1617543.0	25875521.0
Brazil	1491772.0	213763863.0
Spain	1461552.0	47394223.0
Mexico	1192480.0	126014024.0
Indonesia	1158783.0	271350000.0
Netherlands	1012598.0	17643531.0
Switzerland	824734.0	8696088.0
Saudi Arabia	804921.0	35013414.0
Turkey	794530.0	83614362.0
Taiwan	759104.0	23451837.0
Iran	682859.0	84831574.0
Poland	642121.0	38158000.0
Sweden	625948.0	10416585.0
Belgium	578996.0	11580185.0
Thailand	538735.0	66701730.0
Nigeria	514049.0	211401000.0
Austria	481796.0	8950544.0
Ireland	476663.0	5011500.0
Israel	446708.0	9410940.0
Norway	444519.0	5402171.0
Argentina	418150.0	45808747.0
Philippines	402638.0	110911008.0
United Arab Emirates	401513.0	9503738.0
Egypt	394284.0	102398748.0
Denmark	392570.0	5850189.0
Malaysia	387093.0	32719200.0
Singapore	374394.0	5685807.0
Hong Kong	368633.0	7394700.0
Bangladesh	352908.0	171466220.0
South Africa	329529.0	60142978.0
Vietnam	354868.0	97580000.0
Chile	307938.0	19678363.0
Finland	300484.0	5514825.0
Colombia	295610.0	51049498.0
Pakistan	286340.0	225200000.0
Romania	289130.0	19186201.0
Czech Republic	276109.0	10702942.0
Portugal	257391.0	10347892.0
New Zealand	243332.0	5131249.0
Peru	225918.0	33035304.0
Greece	209857.0	10718565.0
Iraq	190733.0	41190700.0
Kazakhstan	187836.0	19013272.0
Qatar	166031.0	2799202.0
Hungary	176543.0	9730772.0
Ukraine	164593.0	41362393.0
Algeria	151459.0	44700000.0
Kuwait	126930.0	4670713.0
Morocco	124003.0	36387068.0
Slovakia	117664.0	5459781.0
Cuba	105355.0	11181595.0
Puerto Rico	100684.0	3285874.0
Ecuador	100595.0	17828524.0
Kenya	106041.0	47564296.0
Ethiopia	93966.0	117876000.0
Sri Lanka	84532.0	22156000.0
Dominican Republic	83917.0	10535535.0
Guatemala	81402.0	17109746.0
Myanmar	76195.0	55294979.0
Oman	74115.0	4513666.0
Luxembourg	84077.0	634730.0
Bulgaria	77782.0	6875040.0
Angola	66493.0	32097671.0
Ghana	74260.0	30792608.0
Panama	59377.0	4278500.0
Tanzania	65919.0	59441988.0
Ivory Coast	70991.0	27087732.0
Costa Rica	61178.0	5163038.0
Belarus	60725.0	9349645.0
Croatia	65217.0	4036355.0
Uzbekistan	61203.0	35126244.0
Lithuania	62198.0	2786006.0
Slovenia	59132.0	2108977.0
Uruguay	55459.0	3554915.0
Serbia	60435.0	6871547.0
DR Congo	55088.0	92378000.0
Venezuela	42530.0	28705000.0
Macau	39449.0	
Turkmenistan	54218.0	6118000.0
Azerbaijan	49914.0	10139196.0
Jordan	44979.0	11047596.0
Lebanon	19126.0	6769000.0
Bolivia	43110.0	11797257.0
Cameroon	44893.0	24348251.0
Tunisia	44265.0	11746695.0
Syria	60043.0	18276000.0
Bahrain	37503.0	1501635.0
Paraguay	37836.0	7353038.0
Uganda	41271.0	42885900.0
Libya	24267.0	6959000.0
Latvia	37720.0	1882200.0
Sudan	35827.0	43842390.0
Estonia	35187.0	1330068.0
Nepal	36084.0	30378055.0
Cambodia	27239.0	15552211.0
El Salvador	26277.0	6825935.0
Honduras	26161.0	9450711.0
Cyprus	26479.0	888005.0
Senegal	27927.0	17223497.0
Papua New Guinea	24536.0	9122994.0
Yemen	25095.0	30491000.0
Iceland	24155.0	371580.0
Trinidad and Tobago	22161.0	1366725.0
Zimbabwe	26085.0	15790716.0
Zambia	18955.0	18400556.0
Bosnia and Herzegovina	21953.0	3320954.0
Laos	20440.0	7337783.0
Afghanistan	19938.0	32890171.0
Botswana	18726.0	2410338.0
Mali	19912.0	20856000.0
Gabon	18362.0	2233272.0
Georgia	16163.0	3728573.0
Burkina Faso	18853.0	21510181.0
North Korea	16331.0	25660000.0
Palestine	16481.0	5227193.0
Albania	17138.0	2829741.0
Jamaica	14600.0	2734093.0
Malta	16476.0	514564.0
Benin	17327.0	12506347.0
Haiti	22431.0	11743017.0
Mozambique	13957.0	30832244.0
Madagascar	14746.0	26923353.0
Brunei	15278.0	453600.0
Mongolia	14233.0	3400736.0
Niger	15899.0	24112753.0
Guinea	16339.0	12907395.0
Mauritius	12212.0	1266334.0
Armenia	12251.0	2963900.0
North Macedonia	13821.0	2068808.0
Bahamas	11706.0	393450.0
Nicaragua	12283.0	6595674.0
Congo	12022.0	5657000.0
Namibia	11381.0	2550226.0
Moldova	11998.0	2597100.0
Chad	12531.0	16818391.0
Equatorial Guinea	11726.0	1505588.0
Rwanda	10633.0	12955768.0
New Caledonia	9879.0	
Malawi	9268.0	18898441.0
Kosovo	8810.0	1782115.0
Mauritania	9239.0	4271197.0
Kyrgyzstan	7470.0	6663000.0
Tajikistan	7825.0	9504000.0
Bermuda	7361.0	64055.0
Monaco	7423.0	38350.0
Togo	8627.0	7886000.0
Liechtenstein	6797.0	39062.0
French Polynesia	6023.0	
Guyana	7255.0	743699.0
Cayman Islands	6020.0	
Montenegro	5651.0	621306.0
Maldives	4536.0	383135.0
Fiji	4586.0	898402.0
Barbados	4628.0	288000.0
South Sudan	4461.0	13249924.0
Eswatini	4226.0	1172000.0
Sierra Leone	4420.0	8297882.0
Somalia	5367.0	16360000.0
Djibouti	3663.0	976107.0
Suriname	2465.0	598000.0
Andorra	3154.0	78015.0
Curaçao	3101.0	
Burundi	3244.0	12574571.0
Greenland	3023.0	
Liberia	3370.0	4661010.0
Aruba	2582.0	
Bhutan	2480.0	756129.0
Lesotho	2458.0	2159000.0
Central African Republic	2718.0	5633412.0
Eritrea	2250.0	3601000.0
Saint Lucia	1787.0	178696.0
Cape Verde	2003.0	563198.0
East Timor	1726.0	1317780.0
Gambia	2078.0	2487000.0
Belize	1700.0	430191.0
Zanzibar	1805.0	
San Marino	1688.0	33599.0
Antigua and Barbuda	1376.0	99337.0
Solomon Islands	1644.0	728041.0
Seychelles	948.0	99202.0
Guinea-Bissau	1647.0	1646077.0
British Virgin Islands	1296.0	
Comoros	1309.0	758316.0
Turks and Caicos Islands	1197.0	
Grenada	1041.0	113000.0
Sint Maarten	1009.0	
Saint Kitts and Nevis	831.0	54000.0
